Target Distance: 1000, Step Size: 10
158 (x, y) = (-77.2326, 28.5734)
159 (x, y) = (-75.9527, 18.6557)
160 (x, y) = (-83.9906, 24.6048)
161 (x, y) = (-78.8127, 16.0497)
162 (x, y) = (-72.548, 8.25524)
163 (x, y) = (-81.7995, 12.0513)
164 (x, y) = (-71.803, 11.7861)
165 (x, y) = (-80.5999, 7.03061)
166 (x, y) = (-84.7613, 16.1236)
167 (x, y) = (-82.0094, 6.50969)
168 (x, y) = (-72.7581, 10.306)
169 (x, y) = (-64.2259, 5.09053)
170 (x, y) = (-63.7395, 15.0787)
171 (x, y) = (-72.8868, 11.038)
172 (x, y) = (-66.902, 3.0267)
173 (x, y) = (-56.9411, 3.91069)
174 (x, y) = (-49.0099, 10.0014)
175 (x, y) = (-44.6884, 19.0194)
176 (x, y) = (-47.098, 9.31403)
177 (x, y) = (-57.098, 9.31373)
178 (x, y) = (-47.1043, 9.66771)
179 (x, y) = (-55.59, 14.9585)
180 (x, y) = (-59.9118, 23.9764)
181 (x, y) = (-66.9041, 16.8274)
182 (x, y) = (-65.3616, 6.94713)
183 (x, y) = (-74.9124, 9.91053)
184 (x, y) = (-66.1154, 5.15529)
185 (x, y) = (-75.9887, 3.56907)
186 (x, y) = (-84.5208, -1.6467)
187 (x, y) = (-91.8227, 5.1857)
188 (x, y) = (-98.8782, 12.2723)
189 (x, y) = (-105.678, 19.6042)
190 (x, y) = (-100.807, 10.8712)
191 (x, y) = (-102.174, 20.7772)
192 (x, y) = (-93.931, 26.4383)
193 (x, y) = (-103.79, 28.1116)
194 (x, y) = (-107.951, 37.2046)
195 (x, y) = (-117.912, 38.0882)
196 (x, y) = (-115.076, 28.499)
197 (x, y) = (-106.985, 22.6213)
198 (x, y) = (-97.7007, 18.9073)
199 (x, y) = (-107.682, 18.2881)
200 (x, y) = (-115.335, 11.8524)
201 (x, y) = (-121.033, 3.63409)
202 (x, y) = (-111.748, -0.0799501)
203 (x, y) = (-101.875, -1.66588)
204 (x, y) = (-96.7728, 6.93481)
205 (x, y) = (-105.259, 12.2256)
206 (x, y) = (-115.244, 12.7562)
207 (x, y) = (-122.424, 19.7168)
208 (x, y) = (-132.268, 17.956)
209 (x, y) = (-140.199, 24.0464)
210 (x, y) = (-150.152, 23.0743)
211 (x, y) = (-144.528, 31.3428)
212 (x, y) = (-134.7, 33.1906)
213 (x, y) = (-128.715, 25.1793)
214 (x, y) = (-118.762, 24.2074)
215 (x, y) = (-128.762, 24.2071)
216 (x, y) = (-130.13, 34.1132)
217 (x, y) = (-121.463, 39.1006)
218 (x, y) = (-128.455, 31.9516)
219 (x, y) = (-119.272, 35.9111)
220 (x, y) = (-125.809, 28.3431)
221 (x, y) = (-120.332, 36.7098)
222 (x, y) = (-112.565, 30.4109)
223 (x, y) = (-106.3, 22.6165)
224 (x, y) = (-112.769, 30.2418)
225 (x, y) = (-104.427, 35.7561)
226 (x, y) = (-111.668, 28.8591)
227 (x, y) = (-104.999, 36.3105)
228 (x, y) = (-103.108, 26.4909)
229 (x, y) = (-103.682, 16.5075)
230 (x, y) = (-113.179, 19.6395)
231 (x, y) = (-122.916, 17.3587)
232 (x, y) = (-118.594, 26.3767)
233 (x, y) = (-127.846, 30.1728)
234 (x, y) = (-122.148, 21.9546)
235 (x, y) = (-113.15, 26.3162)
236 (x, y) = (-115.901, 16.7022)
237 (x, y) = (-106.552, 13.1531)
238 (x, y) = (-102.231, 22.1712)
239 (x, y) = (-103.861, 32.0374)
240 (x, y) = (-94.9405, 36.5577)
241 (x, y) = (-104.874, 35.4095)
242 (x, y) = (-105.361, 45.3977)
243 (x, y) = (-102.866, 55.0813)
244 (x, y) = (-108.269, 63.4959)
245 (x, y) = (-118.203, 62.3477)
246 (x, y) = (-127.52, 65.9795)
247 (x, y) = (-136.837, 69.6112)
248 (x, y) = (-144.139, 76.4436)
249 (x, y) = (-154.129, 76.0011)
250 (x, y) = (-161.37, 69.1042)
251 (x, y) = (-167.068, 60.8858)
252 (x, y) = (-161.083, 52.8745)
253 (x, y) = (-170.911, 54.722)
254 (x, y) = (-163.43, 48.0859)
255 (x, y) = (-167.831, 39.1065)
256 (x, y) = (-160.59, 32.2097)
257 (x, y) = (-155.641, 40.8994)
258 (x, y) = (-165.638, 40.6338)
259 (x, y) = (-160.384, 49.1429)
260 (x, y) = (-162.362, 58.9453)
261 (x, y) = (-164.944, 49.2841)
262 (x, y) = (-166.66, 39.4326)
263 (x, y) = (-158.95, 45.8002)
264 (x, y) = (-149.156, 47.8217)
265 (x, y) = (-140.624, 42.6062)
266 (x, y) = (-135, 50.8746)
267 (x, y) = (-125.006, 51.2286)
268 (x, y) = (-117.239, 44.9297)
269 (x, y) = (-120.747, 35.5651)
270 (x, y) = (-110.936, 33.6307)
271 (x, y) = (-119.603, 38.6178)
272 (x, y) = (-126.468, 31.3462)
273 (x, y) = (-117.394, 35.5479)
274 (x, y) = (-107.408, 36.0787)
275 (x, y) = (-97.464, 37.1389)
276 (x, y) = (-103.933, 44.7643)
277 (x, y) = (-113.807, 43.178)
278 (x, y) = (-123.751, 44.2379)
279 (x, y) = (-122.559, 54.1666)
280 (x, y) = (-129.676, 47.1426)
281 (x, y) = (-126.671, 37.605)
282 (x, y) = (-118.848, 43.8351)
283 (x, y) = (-111.856, 36.6864)
284 (x, y) = (-103.278, 41.8264)
285 (x, y) = (-103.676, 31.8343)
286 (x, y) = (-108.929, 40.3432)
287 (x, y) = (-115.73, 47.6751)
288 (x, y) = (-109.126, 40.1653)
289 (x, y) = (-105.869, 49.6197)
290 (x, y) = (-96.4288, 52.9196)
291 (x, y) = (-106.204, 50.8115)
292 (x, y) = (-114.642, 45.4455)
293 (x, y) = (-105.46, 49.4051)
294 (x, y) = (-114.083, 44.3411)
295 (x, y) = (-104.9, 48.3007)
296 (x, y) = (-114.812, 46.9769)
297 (x, y) = (-108.209, 39.467)
298 (x, y) = (-112.61, 30.4876)
299 (x, y) = (-117.326, 21.6696)
300 (x, y) = (-113.408, 30.8698)
301 (x, y) = (-109.571, 21.6354)
302 (x, y) = (-105.329, 12.5796)
303 (x, y) = (-112.446, 5.55551)
304 (x, y) = (-103.735, 0.645295)
305 (x, y) = (-104.839, -9.29359)
306 (x, y) = (-96.2157, -14.3572)
307 (x, y) = (-86.8986, -10.7253)
308 (x, y) = (-86.7661, -0.726131)
309 (x, y) = (-94.5328, -7.02525)
310 (x, y) = (-97.8741, -16.4505)
311 (x, y) = (-101.793, -7.25035)
312 (x, y) = (-108.057, -15.045)
313 (x, y) = (-107.218, -5.08032)
314 (x, y) = (-98.5503, -0.0929243)
315 (x, y) = (-95.4604, 9.41772)
316 (x, y) = (-86.2777, 13.3772)
317 (x, y) = (-77.095, 17.3368)
318 (x, y) = (-81.0948, 8.17156)
319 (x, y) = (-85.8111, -0.646432)
320 (x, y) = (-78.5093, 6.18619)
321 (x, y) = (-80.1392, 16.0525)
322 (x, y) = (-85.542, 7.63759)
323 (x, y) = (-92.3422, 14.9695)
324 (x, y) = (-91.0623, 5.05174)
325 (x, y) = (-95.4635, -3.92767)
326 (x, y) = (-86.2121, -0.131311)
327 (x, y) = (-76.6354, -3.01006)
328 (x, y) = (-84.4577, 3.21983)
329 (x, y) = (-94.0086, 6.18323)
330 (x, y) = (-84.7238, 2.46919)
331 (x, y) = (-74.9485, 0.361377)
332 (x, y) = (-77.1859, -9.38511)
333 (x, y) = (-80.6936, -18.7497)
334 (x, y) = (-76.2922, -27.729)
335 (x, y) = (-85.5437, -23.9329)
336 (x, y) = (-75.6203, -22.6969)
337 (x, y) = (-65.9045, -20.33)
338 (x, y) = (-75.5541, -22.954)
339 (x, y) = (-72.8876, -13.3161)
340 (x, y) = (-73.1086, -23.3136)
341 (x, y) = (-63.5844, -26.3615)
342 (x, y) = (-53.6973, -24.8627)
343 (x, y) = (-51.3737, -15.1364)
344 (x, y) = (-45.8967, -6.76966)
345 (x, y) = (-55.6331, -9.05048)
346 (x, y) = (-45.6648, -9.84596)
347 (x, y) = (-38.8648, -2.51385)
348 (x, y) = (-36.4549, -12.2191)
349 (x, y) = (-43.7569, -5.38674)
350 (x, y) = (-33.9457, -7.32118)
351 (x, y) = (-27.1457, 0.0109328)
352 (x, y) = (-23.0649, 9.14039)
353 (x, y) = (-24.1688, -0.798501)
354 (x, y) = (-33.9052, -3.07932)
355 (x, y) = (-25.2377, 1.90808)
356 (x, y) = (-19.9845, 10.4171)
357 (x, y) = (-17.2325, 0.803219)
358 (x, y) = (-9.87041, -5.96428)
359 (x, y) = (-19.8688, -5.78756)
360 (x, y) = (-24.1906, 3.23032)
361 (x, y) = (-31.0553, -4.04131)
362 (x, y) = (-40.7049, -6.66535)
363 (x, y) = (-30.9295, -8.77316)
364 (x, y) = (-38.9143, -14.7934)
365 (x, y) = (-38.428, -4.80523)
366 (x, y) = (-48.0775, -7.42927)
367 (x, y) = (-52.239, 1.6637)
368 (x, y) = (-61.7631, -1.3844)
369 (x, y) = (-57.763, -10.5495)
370 (x, y) = (-65.9559, -16.2833)
371 (x, y) = (-56.1997, -14.0888)
372 (x, y) = (-59.955, -4.8207)
373 (x, y) = (-69.0664, -0.699514)
374 (x, y) = (-66.2297, -10.2888)
375 (x, y) = (-56.5351, -12.7413)
376 (x, y) = (-47.9573, -7.60123)
377 (x, y) = (-41.902, 0.357008)
378 (x, y) = (-45.6574, 9.62508)
379 (x, y) = (-39.3242, 17.364)
380 (x, y) = (-47.3089, 11.3437)
381 (x, y) = (-53.5044, 19.1934)
382 (x, y) = (-62.6872, 23.1526)
383 (x, y) = (-68.9517, 15.358)
384 (x, y) = (-70.1438, 25.2866)
385 (x, y) = (-73.7345, 34.6197)
386 (x, y) = (-75.1895, 44.5133)
387 (x, y) = (-82.7287, 51.083)
388 (x, y) = (-91.3517, 46.019)
389 (x, y) = (-81.3521, 45.9308)
390 (x, y) = (-83.069, 36.0793)
391 (x, y) = (-73.3966, 38.6178)
392 (x, y) = (-81.4345, 44.5669)
393 (x, y) = (-73.7239, 50.9345)
394 (x, y) = (-82.017, 45.3467)
395 (x, y) = (-74.5362, 38.7105)
396 (x, y) = (-67.8012, 31.3187)
397 (x, y) = (-59.4103, 25.8788)
398 (x, y) = (-49.4201, 25.4367)
399 (x, y) = (-41.5429, 19.2762)
400 (x, y) = (-41.5869, 9.27634)
401 (x, y) = (-51.5728, 9.80688)
402 (x, y) = (-61.1494, 6.92784)
403 (x, y) = (-52.8071, 12.4421)
404 (x, y) = (-61.5185, 7.53163)
405 (x, y) = (-58.5974, 17.0955)
406 (x, y) = (-60.3142, 7.24397)
407 (x, y) = (-61.0656, -2.72777)
408 (x, y) = (-68.8323, -9.02688)
409 (x, y) = (-61.1217, -2.65927)
410 (x, y) = (-67.2471, -10.5636)
411 (x, y) = (-73.8501, -18.0737)
412 (x, y) = (-65.0531, -22.8289)
413 (x, y) = (-70.7503, -31.0473)
414 (x, y) = (-62.1271, -36.1109)
415 (x, y) = (-52.5254, -38.9051)
416 (x, y) = (-60.5634, -32.956)
417 (x, y) = (-50.9617, -35.7501)
418 (x, y) = (-41.1681, -33.7286)
419 (x, y) = (-45.8064, -24.8694)
420 (x, y) = (-45.4969, -14.8742)
421 (x, y) = (-39.0278, -7.2486)
422 (x, y) = (-41.0059, 2.5538)
423 (x, y) = (-34.0134, -4.59497)
424 (x, y) = (-33.6152, -14.587)
425 (x, y) = (-25.9046, -8.21942)
426 (x, y) = (-20.9558, 0.470236)
427 (x, y) = (-13.4168, 7.0401)
428 (x, y) = (-4.41815, 11.4017)
429 (x, y) = (2.94398, 4.63425)
430 (x, y) = (1.13968, 14.4701)
431 (x, y) = (-5.97807, 7.44605)
432 (x, y) = (-1.18395, 16.2219)
433 (x, y) = (2.81618, 7.05685)
434 (x, y) = (-5.57453, 1.61664)
435 (x, y) = (4.32535, 3.02814)
436 (x, y) = (0.569974, 12.2962)
437 (x, y) = (-8.71463, 8.58189)
438 (x, y) = (-12.1396, 17.9771)
439 (x, y) = (-2.69973, 21.277)
440 (x, y) = (-10.7898, 15.399)
441 (x, y) = (-17.2593, 23.0244)
442 (x, y) = (-9.54865, 29.3921)
443 (x, y) = (-11.2655, 19.5405)
444 (x, y) = (-4.66235, 12.0307)
445 (x, y) = (-13.5825, 16.5507)
446 (x, y) = (-22.3371, 21.3836)
447 (x, y) = (-31.0917, 26.2165)
448 (x, y) = (-23.2696, 32.4466)
449 (x, y) = (-29.4651, 40.2962)
450 (x, y) = (-20.0252, 43.5961)
451 (x, y) = (-18.4827, 33.7158)
452 (x, y) = (-8.72647, 35.9104)
453 (x, y) = (-2.74163, 27.899)
454 (x, y) = (-11.0347, 22.3111)
455 (x, y) = (-16.5856, 13.9932)
456 (x, y) = (-26.4135, 15.8407)
457 (x, y) = (-34.3448, 21.9312)
458 (x, y) = (-26.8058, 28.501)
459 (x, y) = (-33.2072, 20.8185)
460 (x, y) = (-26.0276, 27.7793)
461 (x, y) = (-33.8499, 34.0092)
462 (x, y) = (-32.3952, 43.9028)
463 (x, y) = (-25.8585, 36.335)
464 (x, y) = (-27.7495, 26.5154)
465 (x, y) = (-35.993, 32.1762)
466 (x, y) = (-41.9067, 40.2402)
467 (x, y) = (-50.5744, 45.2274)
468 (x, y) = (-47.4001, 35.7445)
469 (x, y) = (-54.2003, 43.0764)
470 (x, y) = (-57.0367, 33.4871)
471 (x, y) = (-47.5125, 30.4393)
472 (x, y) = (-45.8828, 40.3056)
473 (x, y) = (-36.7354, 36.2652)
474 (x, y) = (-45.6556, 40.7852)
475 (x, y) = (-51.7111, 48.7433)
476 (x, y) = (-59.6959, 42.7231)
477 (x, y) = (-52.1569, 49.2929)
478 (x, y) = (-43.7183, 43.9272)
479 (x, y) = (-36.5387, 50.888)
480 (x, y) = (-45.9188, 54.3542)
481 (x, y) = (-36.9589, 49.9133)
482 (x, y) = (-44.8359, 43.7527)
483 (x, y) = (-40.4344, 34.7734)
484 (x, y) = (-41.3622, 24.8166)
485 (x, y) = (-36.0336, 16.3545)
486 (x, y) = (-36.697, 26.3325)
487 (x, y) = (-41.799, 34.933)
488 (x, y) = (-38.5412, 44.3875)
489 (x, y) = (-36.5634, 54.1899)
490 (x, y) = (-40.8049, 45.134)
491 (x, y) = (-50.1849, 48.6002)
492 (x, y) = (-41.2251, 44.1594)
493 (x, y) = (-51.2153, 43.717)
494 (x, y) = (-54.0516, 34.1276)
495 (x, y) = (-49.8899, 25.0348)
496 (x, y) = (-59.4407, 27.9982)
497 (x, y) = (-61.1576, 18.1467)
498 (x, y) = (-66.8548, 9.92831)
499 (x, y) = (-71.8803, 1.2828)
500 (x, y) = (-72.8964, 11.231)
501 (x, y) = (-67.7947, 19.8317)
502 (x, y) = (-67.5734, 9.83418)
503 (x, y) = (-58.3559, 5.95636)
504 (x, y) = (-48.8317, 2.90854)
505 (x, y) = (-57.1741, 8.42255)
506 (x, y) = (-67.1741, 8.42225)
507 (x, y) = (-57.1745, 8.33404)
508 (x, y) = (-50.182, 1.18528)
509 (x, y) = (-42.7012, -5.45084)
510 (x, y) = (-50.1818, -12.0872)
511 (x, y) = (-43.8486, -4.34827)
512 (x, y) = (-47.0226, -13.8312)
513 (x, y) = (-57.021, -13.6545)
514 (x, y) = (-61.7373, -22.4725)
515 (x, y) = (-71.3868, -25.0965)
516 (x, y) = (-80.0982, -30.007)
517 (x, y) = (-84.3397, -39.0629)
518 (x, y) = (-93.7197, -35.5967)
519 (x, y) = (-86.2982, -28.8944)
520 (x, y) = (-95.7951, -25.7624)
521 (x, y) = (-105.589, -23.7412)
522 (x, y) = (-96.0919, -20.6089)
523 (x, y) = (-86.3554, -22.8894)
524 (x, y) = (-95.7657, -26.2727)
525 (x, y) = (-101.891, -34.1771)
526 (x, y) = (-108.017, -42.0814)
527 (x, y) = (-115.497, -48.7177)
528 (x, y) = (-107.73, -55.0166)
529 (x, y) = (-116.527, -59.7721)
530 (x, y) = (-125.675, -63.8128)
531 (x, y) = (-121.513, -72.9056)
532 (x, y) = (-111.544, -73.7011)
533 (x, y) = (-114.466, -64.1374)
534 (x, y) = (-120.661, -56.2877)
535 (x, y) = (-123.919, -46.8334)
536 (x, y) = (-113.959, -45.9494)
537 (x, y) = (-123.483, -48.9975)
538 (x, y) = (-113.881, -51.7917)
539 (x, y) = (-113.395, -41.8035)
540 (x, y) = (-115.373, -32.0011)
541 (x, y) = (-121.143, -23.8337)
542 (x, y) = (-124.484, -33.2589)
543 (x, y) = (-126.375, -43.0785)
544 (x, y) = (-135.66, -46.7928)
545 (x, y) = (-142.524, -54.0644)
546 (x, y) = (-149.704, -47.1039)
547 (x, y) = (-139.706, -46.9268)
548 (x, y) = (-132.906, -39.5947)
549 (x, y) = (-137.465, -48.4948)
550 (x, y) = (-130.286, -41.534)
551 (x, y) = (-138.997, -46.4445)
552 (x, y) = (-144.474, -38.0779)
553 (x, y) = (-136.652, -31.8478)
554 (x, y) = (-142.637, -39.8594)
555 (x, y) = (-150.176, -33.2897)
556 (x, y) = (-140.827, -36.8388)
557 (x, y) = (-147.562, -44.2308)
558 (x, y) = (-137.65, -45.5543)
559 (x, y) = (-145.472, -39.3245)
560 (x, y) = (-138.607, -46.5959)
561 (x, y) = (-139.005, -56.588)
562 (x, y) = (-145.407, -64.2705)
563 (x, y) = (-138.414, -71.4193)
564 (x, y) = (-128.812, -74.2134)
565 (x, y) = (-137.811, -69.8521)
566 (x, y) = (-147.413, -72.6465)
567 (x, y) = (-140.42, -79.7953)
568 (x, y) = (-131.888, -85.0108)
569 (x, y) = (-126.559, -93.4728)
570 (x, y) = (-128.711, -83.707)
571 (x, y) = (-136.642, -77.6165)
572 (x, y) = (-140.964, -68.5986)
573 (x, y) = (-149.963, -64.2373)
574 (x, y) = (-140.614, -67.7864)
575 (x, y) = (-134.011, -75.2962)
576 (x, y) = (-128.909, -66.6956)
577 (x, y) = (-136.62, -60.3282)
578 (x, y) = (-134.21, -70.0335)
579 (x, y) = (-139.687, -61.6669)
580 (x, y) = (-133.702, -69.6782)
581 (x, y) = (-141.413, -63.3109)
582 (x, y) = (-151.313, -61.8997)
583 (x, y) = (-145.762, -70.2174)
584 (x, y) = (-145.364, -80.2095)
585 (x, y) = (-135.373, -80.6516)
586 (x, y) = (-144.722, -84.201)
587 (x, y) = (-152.812, -90.0789)
588 (x, y) = (-143.163, -92.7027)
589 (x, y) = (-135.072, -98.5804)
590 (x, y) = (-125.4, -96.0419)
591 (x, y) = (-135.273, -97.6281)
592 (x, y) = (-125.834, -94.3282)
593 (x, y) = (-131.889, -86.3701)
594 (x, y) = (-127.728, -77.277)
595 (x, y) = (-137.68, -78.2491)
596 (x, y) = (-144.35, -70.798)
597 (x, y) = (-143.334, -60.8497)
598 (x, y) = (-142.494, -50.8851)
599 (x, y) = (-138.739, -41.6169)
600 (x, y) = (-135.987, -51.2308)
601 (x, y) = (-132.646, -60.6559)
602 (x, y) = (-127.852, -51.88)
603 (x, y) = (-133.402, -60.1979)
604 (x, y) = (-141.334, -54.1075)
605 (x, y) = (-146.587, -45.5986)
606 (x, y) = (-139.286, -38.766)
607 (x, y) = (-131.631, -45.2014)
608 (x, y) = (-130.264, -35.2953)
609 (x, y) = (-120.489, -37.4031)
610 (x, y) = (-130.115, -34.694)
611 (x, y) = (-120.125, -35.1362)
612 (x, y) = (-120.788, -25.1582)
613 (x, y) = (-116.707, -16.0287)
614 (x, y) = (-123.109, -23.7113)
615 (x, y) = (-121.391, -33.5628)
616 (x, y) = (-112.14, -29.7664)
617 (x, y) = (-102.187, -30.7382)
618 (x, y) = (-100.21, -20.9358)
619 (x, y) = (-101.402, -11.0071)
620 (x, y) = (-91.8774, -14.0549)
621 (x, y) = (-101.634, -11.8606)
622 (x, y) = (-103.264, -1.99436)
623 (x, y) = (-94.5092, 2.83881)
624 (x, y) = (-97.5994, 12.3494)
625 (x, y) = (-96.5835, 22.2976)
626 (x, y) = (-106.544, 23.1813)
627 (x, y) = (-96.6008, 24.2415)
628 (x, y) = (-103.656, 31.3281)
629 (x, y) = (-93.7563, 29.9172)
630 (x, y) = (-84.7577, 34.2788)
631 (x, y) = (-93.0507, 28.6909)
632 (x, y) = (-93.1835, 38.6901)
633 (x, y) = (-90.3469, 29.1008)
634 (x, y) = (-95.3723, 20.4553)
635 (x, y) = (-98.7137, 11.0301)
636 (x, y) = (-106.425, 17.3974)
637 (x, y) = (-98.4395, 11.3774)
638 (x, y) = (-96.2018, 1.63102)
639 (x, y) = (-92.121, 10.7605)
640 (x, y) = (-82.1226, 10.9375)
641 (x, y) = (-87.4509, 2.47528)
642 (x, y) = (-85.1273, 12.2016)
643 (x, y) = (-95.1273, 12.2013)
644 (x, y) = (-104.884, 14.3955)
645 (x, y) = (-113.804, 18.9155)
646 (x, y) = (-122.683, 14.3165)
647 (x, y) = (-117.506, 5.76145)
648 (x, y) = (-108.882, 0.69779)
